class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
e,x,s,n,t,c,f,d,n,b,t,b,s,s,c,c,p,y,t,s,n,n,u
p,f,g,n,t,p,d,c,b,p,e,c,s,y,w,w,p,w,o,f,w,v,l
e,f,f,p,f,f,f,w,b,n,t,c,s,k,o,w,p,w,o,p,r,y,m
p,s,s,b,t,p,n,c,n,r,e,e,s,s,w,w,u,w,o,s,k,s,p
e,f,g,p,t,n,d,c,b,h,e,b,y,s,g,p,p,w,b,f,k,s,w
e,x,f,r,t,n,d,d,b,p,e,u,y,y,p,p,p,w,o,p,k,y,d
e,x,y,n,f,n,f,d,b,u,t,u,k,s,p,c,p,w,t,p,b,v,d
e,f,y,y,t,n,f,c,b,e,t,b,k,k,w,e,u,w,o,p,u,s,g
e,c,f,g,t,l,f,c,b,n,t,c,s,f,w,g,p,n,o,p,n,c,d
e,s,g,g,t,n,d,d,b,y,t,r,s,s,g,p,p,o,t,p,b,y,w
e,x,y,n,f,p,f,w,n,g,t,z,s,s,p,w,u,y,o,s,w,y,w
e,f,f,n,t,y,d,c,b,k,t,b,s,s,g,g,u,w,t,p,n,n,w
e,f,s,r,t,y,n,c,n,w,t,b,s,s,g,g,u,w,b,z,n,a,g
e,x,g,e,t,n,f,d,b,u,e,u,s,y,w,c,p,w,t,p,b,v,l
e,x,f,n,t,n,f,d,b,u,t,b,s,y,w,y,p,w,o,p,k,y,p
e,s,f,y,t,m,f,c,n,p,t,r,s,s,p,p,p,y,t,p,n,y,d
e,f,f,u,t,n,n,c,b,p,t,b,s,s,n,n,u,w,o,z,k,a,d
e,x,f,n,t,n,a,c,b,p,t,c,f,f,w,p,p,n,o,e,k,c,w
e,b,f,c,t,n,d,c,b,o,t,b,y,s,w,p,p,w,b,p,k,a,d
e,b,f,e,f,n,f,c,n,o,t,b,s,s,w,e,u,w,o,s,n,a,d
e,x,f,e,t,s,a,d,b,y,e,b,s,f,p,y,p,n,o,c,n,y,d
e,k,y,c,f,f,f,c,n,g,t,b,k,s,p,g,u,w,o,p,k,v,d
e,s,y,y,t,n,f,d,n,n,t,r,s,k,p,g,p,w,t,p,k,y,d
e,x,y,e,t,n,d,c,b,e,t,e,s,y,n,n,p,w,b,f,k,v,d
e,x,f,g,t,f,a,c,b,p,e,z,f,f,g,o,p,w,o,e,r,v,d
e,f,f,p,t,n,f,c,b,h,t,e,s,s,e,e,u,w,b,z,u,v,d
e,k,f,r,t,f,f,c,n,w,t,b,k,s,o,o,u,w,o,n,n,v,m
e,x,y,e,t,n,f,c,n,n,t,b,s,k,g,w,u,w,o,p,k,s,d
e,x,f,e,t,f,f,w,b,n,t,b,s,s,w,g,p,w,o,p,n,c,w
e,x,s,w,t,n,f,d,n,b,t,u,s,s,y,p,u,y,o,s,y,n,d
e,x,f,w,t,n,d,c,b,b,e,u,s,s,g,w,p,o,o,f,k,y,g
e,c,y,e,f,f,f,c,n,n,t,b,s,s,w,w,p,w,o,p,n,c,d
p,x,f,g,t,n,a,c,b,h,e,b,f,f,e,e,p,n,b,c,u,y,d
e,x,y,c,t,n,f,c,n,u,t,u,s,s,p,w,p,w,o,p,k,y,d
e,x,f,e,t,n,n,d,b,b,t,u,s,s,w,w,p,w,o,p,n,y,d
e,s,g,n,t,c,d,d,b,r,e,b,y,y,c,c,p,w,o,f,b,y,d
e,f,g,u,t,n,d,c,b,p,t,b,s,s,g,b,p,w,o,l,n,v,d
e,b,y,e,t,y,f,c,b,w,t,b,s,s,g,g,p,w,b,p,h,a,d
e,f,f,b,t,p,f,c,b,p,t,b,s,k,w,w,u,w,o,p,w,c,l
e,k,y,n,t,n,a,c,b,p,t,b,s,f,w,g,p,n,o,c,r,v,d
e,f,f,n,f,l,f,w,b,p,t,z,k,k,b,b,p,w,o,p,n,y,d
e,x,g,e,t,s,f,d,b,n,t,u,s,y,p,y,p,w,o,p,k,y,d
e,x,f,g,t,n,f,w,b,w,t,b,y,s,g,p,p,o,o,p,k,v,p
e,b,f,c,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,s,n,v,u
e,x,g,n,t,n,d,c,b,y,e,r,s,y,p,p,p,w,t,l,k,y,m
e,x,g,c,t,l,d,w,b,w,e,b,s,s,b,g,p,o,o,p,n,y,d
e,x,y,g,f,a,f,w,n,e,t,e,s,s,n,n,u,w,o,e,k,s,l
e,k,f,n,t,n,a,w,b,w,e,b,s,f,b,g,p,n,o,p,n,y,l
e,f,s,g,t,n,n,c,n,p,t,b,s,s,n,n,u,w,o,p,k,s,d
e,b,y,r,t,n,a,c,b,k,t,b,s,s,n,n,p,w,b,e,k,a,g
e,f,f,r,t,n,f,c,b,b,e,u,s,f,c,p,p,w,t,c,k,n,d
e,x,g,g,t,s,d,d,b,r,e,r,y,y,y,p,p,o,o,p,y,y,d
e,c,f,g,f,n,n,c,b,n,t,c,s,s,p,p,u,w,o,s,r,c,l
e,f,f,g,t,c,d,d,b,u,t,u,y,s,w,c,p,w,t,l,n,n,l
e,x,s,w,f,n,f,w,n,p,t,z,s,f,b,b,u,w,o,e,n,a,g
e,x,f,n,t,n,a,d,b,w,t,b,f,s,g,p,p,n,o,p,n,y,d
e,f,f,n,t,n,f,c,b,w,t,e,f,s,p,g,p,n,o,p,k,v,p
e,f,g,g,t,n,d,c,b,n,e,b,s,y,g,w,p,o,o,p,k,c,d
e,b,f,w,t,n,f,c,b,w,t,b,f,s,n,n,p,n,o,p,k,y,u
e,f,s,e,f,y,f,c,b,h,t,b,s,s,g,w,p,w,b,s,n,s,d
e,b,f,e,t,n,a,c,b,o,t,b,f,f,g,p,p,w,o,c,u,v,p
e,b,y,u,t,n,f,c,n,w,t,c,s,s,w,w,u,w,o,p,w,y,p
e,s,f,g,t,c,a,d,b,w,e,r,f,f,w,w,p,o,o,p,k,c,l
e,f,y,g,f,n,f,c,b,w,t,e,s,k,p,e,p,w,b,n,u,s,d
p,x,y,p,f,l,f,w,n,n,e,b,s,s,b,b,p,w,o,p,n,s,d
e,c,y,n,t,p,a,w,b,n,t,c,s,s,g,w,p,w,o,p,w,c,l
e,f,g,p,t,n,f,c,b,n,t,b,s,s,e,e,p,w,o,p,k,v,w
e,x,y,e,t,n,f,c,b,p,t,b,s,s,n,n,u,w,b,p,k,y,u
e,b,f,n,t,n,f,c,b,o,t,b,s,s,b,w,p,y,o,p,n,c,m
e,x,g,r,t,p,d,c,b,g,e,b,y,s,w,w,p,o,o,f,w,v,m
e,b,y,c,f,a,f,c,n,w,t,b,s,s,g,n,u,w,b,n,k,y,w
e,c,f,e,t,l,a,w,b,p,t,c,f,f,b,b,p,w,o,p,n,c,d
e,x,s,n,t,m,n,d,b,b,t,b,s,s,p,p,u,w,t,p,o,n,d
e,s,y,n,f,n,n,c,n,r,t,r,s,s,p,w,u,y,o,p,o,v,d
e,k,f,e,t,n,f,c,n,g,t,z,k,k,o,w,p,w,o,n,n,v,d
e,f,s,g,f,n,f,c,b,y,t,r,s,s,p,p,p,y,t,p,o,y,m
e,x,s,p,f,m,n,d,n,n,t,b,s,s,p,p,p,w,o,z,o,v,d
e,x,y,e,t,s,f,d,n,r,t,b,s,s,g,y,u,y,t,z,n,y,d
e,s,g,p,t,s,d,c,b,r,t,r,y,s,y,g,p,o,t,l,y,y,d
e,k,y,r,t,f,f,c,b,p,t,z,s,k,o,o,p,w,o,p,r,v,u
e,f,f,b,t,y,f,c,b,h,e,e,f,f,p,p,p,n,b,z,o,y,d
e,x,f,b,f,l,f,w,n,p,t,c,s,s,w,b,p,y,o,s,n,c,u
e,k,f,g,t,p,f,c,b,g,e,b,s,f,g,g,p,n,o,p,w,v,u
e,x,f,e,t,n,f,c,b,e,t,b,s,s,g,w,p,n,b,e,k,s,d
e,x,y,w,f,n,f,c,n,o,t,b,k,k,g,g,u,w,b,p,h,a,l
e,b,g,u,t,n,f,c,b,k,t,b,s,s,w,p,p,o,o,p,u,a,d
e,s,s,e,f,s,f,c,n,p,t,r,s,s,w,w,p,y,o,s,n,y,d
e,f,y,e,f,p,f,c,n,w,t,b,k,s,w,g,p,w,o,n,n,v,d
e,k,y,g,f,n,f,c,n,p,t,b,s,s,w,g,u,w,o,p,k,v,d
e,k,g,e,t,p,d,w,b,p,e,z,y,y,p,w,p,o,o,p,k,v,w
e,x,y,g,t,a,f,c,b,p,t,b,s,s,w,g,u,w,o,z,k,s,d
e,f,y,n,f,n,f,w,n,g,t,e,s,k,o,w,p,w,o,e,r,s,g
p,f,g,g,f,y,d,c,b,g,e,e,y,k,b,g,p,w,o,l,h,y,w
e,b,f,w,t,n,f,c,n,p,t,b,s,s,e,e,p,w,o,p,k,a,w
e,s,y,e,t,m,a,c,b,y,e,b,s,s,w,p,p,n,o,p,n,y,d
p,k,s,w,f,l,n,c,n,w,e,e,s,s,b,b,p,y,o,z,k,v,g
e,c,y,n,t,p,f,c,n,u,t,b,s,s,w,w,p,w,o,n,w,c,l
e,f,y,y,f,n,f,c,n,n,t,b,k,k,p,g,p,w,o,p,n,y,d
e,k,s,e,f,p,f,c,b,n,t,z,s,s,w,g,p,w,o,p,w,v,d
e,k,y,g,t,n,f,w,b,w,t,b,k,k,w,w,u,w,o,p,w,v,m
e,c,y,b,t,f,f,c,n,p,t,c,s,k,o,o,u,w,o,p,r,c,l
e,c,f,g,t,l,a,w,b,n,e,e,f,f,w,w,p,n,o,e,n,a,g
e,x,y,w,t,s,f,d,b,u,t,b,s,s,y,w,u,w,t,p,y,y,g
e,f,s,e,t,a,f,c,b,e,t,b,s,s,n,n,p,w,b,s,k,y,l
e,x,y,c,f,a,f,c,b,k,t,b,s,k,g,g,p,w,b,p,u,y,w
e,c,s,b,f,f,n,c,n,w,t,c,s,s,o,o,p,y,o,s,r,y,p
e,f,g,r,t,n,f,w,b,g,e,e,f,f,o,o,p,w,o,f,r,v,g
e,f,s,g,f,y,n,c,n,o,t,b,s,s,p,g,u,y,o,z,n,v,d
e,x,y,n,t,n,f,c,b,o,e,b,y,y,e,e,p,w,o,f,u,a,d
e,f,y,y,t,n,f,c,n,h,t,b,s,k,p,p,p,w,o,p,k,s,d
e,b,y,n,t,n,f,c,n,o,t,b,s,s,e,w,u,w,b,p,u,y,d
e,x,f,r,t,n,f,d,b,w,t,u,k,k,y,y,p,w,t,n,y,n,d
e,x,y,p,t,c,f,c,b,u,t,b,k,k,c,c,p,w,t,n,b,v,p
e,x,y,w,t,p,d,c,b,g,e,b,y,y,p,w,p,o,o,p,n,v,d
e,f,s,g,f,n,f,w,b,h,e,b,y,y,w,w,p,o,b,e,n,a,g
e,x,f,c,t,c,d,c,b,u,e,u,y,y,w,p,p,w,o,p,k,y,d
e,b,s,n,t,n,n,c,b,o,t,b,s,s,e,e,u,y,b,p,u,a,d
e,x,y,r,t,n,d,d,b,b,e,u,s,y,c,p,p,o,o,f,n,n,d
e,x,y,r,f,s,f,d,n,u,t,b,s,k,p,g,u,w,o,p,k,y,d
e,f,y,p,t,n,f,c,n,e,t,e,s,s,e,w,u,y,o,s,k,y,w
e,f,y,w,f,n,f,w,n,y,t,e,s,f,p,p,p,w,t,n,o,y,g
e,f,s,p,f,y,f,c,n,p,t,b,s,s,g,g,u,y,o,p,h,s,d
e,x,s,w,f,n,n,d,n,b,t,b,s,s,y,y,p,y,o,s,k,y,d
e,k,g,g,t,l,d,c,b,w,t,z,y,s,p,g,p,o,o,f,n,v,g
e,f,f,g,t,a,a,c,b,h,e,b,f,f,p,w,p,n,b,c,n,v,d
e,s,f,e,f,n,f,w,b,y,t,e,f,f,w,w,p,n,t,c,y,y,g
e,k,y,g,f,l,f,c,b,g,t,z,k,s,b,b,u,w,o,p,k,v,d
e,k,f,e,t,n,a,w,b,g,t,z,s,f,o,w,p,n,o,c,r,v,w
e,f,f,g,t,c,f,c,b,n,t,r,f,s,c,c,p,w,o,e,b,v,d
e,x,y,y,f,c,f,c,b,u,t,r,k,s,c,p,u,w,o,n,b,y,d
e,x,f,e,t,n,a,c,b,r,e,b,f,s,p,g,p,w,t,e,b,y,d
e,b,f,n,t,y,f,c,n,k,t,b,k,k,g,p,p,w,o,p,h,y,d
e,s,f,g,t,n,f,c,b,r,e,r,y,s,c,c,p,o,t,p,h,s,d
e,f,f,b,f,n,n,d,n,w,t,b,s,s,g,p,p,w,t,z,o,y,d
e,x,f,n,t,n,f,c,b,p,e,b,y,y,p,g,p,o,o,f,k,y,w
e,x,s,w,t,y,n,c,n,u,t,b,s,s,p,g,p,y,o,p,h,y,g
e,c,f,p,t,p,n,w,n,p,t,c,s,s,w,g,p,y,o,z,n,c,w
e,k,f,g,t,n,a,w,b,g,e,b,f,s,w,g,p,n,o,p,k,y,p
e,k,y,n,t,n,f,w,n,g,t,b,k,k,w,w,u,w,o,n,k,v,g
p,b,s,p,f,c,n,c,n,k,t,b,s,s,n,n,u,w,o,s,k,a,d
e,f,y,g,f,n,f,c,b,w,t,e,s,k,e,w,u,w,b,n,k,y,d
e,b,s,n,f,n,f,c,b,o,t,b,s,s,w,e,p,w,o,p,u,a,d
p,f,s,n,t,f,a,w,b,w,e,e,s,f,o,o,p,w,o,e,r,v,l
e,f,y,n,f,n,n,c,n,u,t,e,s,s,n,n,p,y,o,p,k,s,d
e,c,y,b,t,l,d,w,b,n,t,c,y,y,g,b,p,o,o,p,n,y,d
e,x,s,e,f,n,f,c,b,n,t,b,s,s,g,g,p,w,b,p,h,v,m
e,s,y,e,t,n,f,c,b,y,t,r,k,k,p,y,u,w,o,p,y,y,p
e,c,f,e,t,n,a,c,b,n,e,b,s,s,w,w,p,n,o,c,w,c,d
e,x,f,c,t,n,a,d,b,u,t,u,f,s,p,p,p,n,t,c,o,n,p
e,b,s,w,f,n,f,c,b,n,e,e,y,s,n,n,p,o,o,e,k,s,g
e,b,y,w,t,n,d,c,b,p,e,b,s,s,e,p,p,o,o,p,u,a,w
e,s,f,b,f,n,f,d,b,r,t,e,k,k,p,p,u,w,t,e,o,y,w
e,c,s,n,f,n,f,c,n,p,t,c,s,s,w,w,p,y,o,s,n,y,g
e,b,f,c,t,n,a,c,b,k,e,b,f,s,p,p,p,n,b,p,k,a,u
e,x,g,e,t,c,d,d,b,p,e,u,s,s,c,c,p,o,t,p,b,v,m
e,x,y,n,t,m,f,c,n,b,t,u,s,s,g,p,p,w,t,s,k,n,l
e,x,g,g,t,n,d,d,b,u,e,u,s,s,y,b,p,w,o,l,n,c,d
e,x,g,w,t,n,f,d,b,b,t,b,s,s,p,y,p,o,t,p,k,y,u
e,b,y,g,t,a,a,c,b,w,t,b,s,f,p,g,p,n,b,e,k,a,d
e,c,y,g,t,f,f,c,b,p,t,b,k,k,o,o,u,w,o,p,r,c,d
e,f,y,y,t,n,f,d,b,p,e,r,f,s,g,c,p,n,o,p,n,v,d
e,f,f,b,t,n,f,c,n,p,t,e,s,k,w,w,u,w,o,p,u,s,w
e,b,y,e,f,a,n,c,n,o,t,b,s,s,n,n,p,w,o,p,k,y,d
e,c,f,g,t,f,f,w,n,w,t,b,k,k,o,o,p,w,o,p,r,c,p
e,s,s,n,t,s,n,d,n,w,t,r,s,s,p,p,p,w,t,p,y,y,d
e,k,g,w,t,n,f,c,b,g,e,z,y,y,w,w,p,w,o,f,k,v,d
e,f,s,n,f,f,f,c,n,w,t,z,s,s,p,b,p,y,o,z,n,v,l
e,x,y,g,t,m,n,d,n,u,t,b,s,s,p,p,u,y,t,s,n,v,d
e,b,f,e,t,a,a,c,b,w,e,b,f,f,w,g,p,n,b,e,k,y,g
e,k,s,n,f,n,f,w,b,g,t,b,s,s,o,o,u,y,o,p,k,v,g
e,k,y,c,t,l,a,w,b,g,e,b,s,s,b,b,p,w,o,e,k,v,d
e,f,y,n,t,s,f,d,n,w,t,u,s,k,y,y,p,w,t,p,k,n,u
e,b,s,c,f,a,f,c,n,p,t,b,s,s,w,w,u,y,b,p,k,a,l
e,k,y,r,t,p,f,c,b,n,t,z,k,k,p,w,p,w,o,p,n,v,d
e,c,g,g,t,n,d,w,b,p,e,c,y,s,g,p,p,w,o,p,k,y,d
e,x,y,y,t,n,n,c,b,h,t,b,s,s,g,p,u,w,b,s,h,s,d
e,c,s,y,f,p,n,w,n,p,t,b,s,s,c,g,u,y,o,z,k,y,m
e,x,y,g,t,s,f,d,n,b,t,b,k,s,w,y,u,w,t,p,y,n,d
e,x,f,w,t,n,f,w,n,g,t,b,k,s,w,b,p,w,o,p,n,y,d
e,x,f,n,t,p,f,c,b,g,t,z,s,s,p,p,p,n,o,p,w,v,u
e,b,f,n,t,n,f,c,b,k,t,b,s,k,g,w,p,w,o,p,u,a,d
e,f,y,p,f,l,f,w,b,u,t,b,k,k,b,p,p,w,o,p,n,c,d
e,k,g,n,t,l,f,c,b,w,t,b,s,y,b,b,p,w,o,p,k,v,d
e,c,y,g,f,l,f,c,b,n,t,c,s,s,b,b,u,y,o,p,k,c,d
e,b,g,c,t,n,f,c,b,k,t,b,s,y,e,e,p,o,o,l,u,a,w
e,x,g,n,t,s,f,d,b,w,e,u,s,y,y,y,p,o,t,l,k,v,l
e,f,g,b,t,p,f,w,b,n,e,b,s,y,w,p,p,o,o,f,w,c,d
e,c,g,e,t,l,f,c,b,p,t,b,y,s,w,g,p,o,o,l,n,c,d
e,x,y,r,f,c,f,c,b,u,t,u,k,k,p,g,p,w,t,p,n,y,w
e,x,f,c,t,n,d,c,b,u,t,b,y,y,y,g,p,o,t,l,y,n,p
e,x,f,g,t,m,f,c,b,b,e,b,s,y,w,p,p,o,o,f,o,v,w
e,f,g,e,t,n,d,d,b,y,t,b,y,y,c,p,p,o,o,l,n,v,d
e,b,s,w,t,y,n,c,n,k,t,b,s,s,g,g,u,y,b,p,h,a,d
e,x,y,b,t,n,f,c,b,n,t,b,s,s,o,p,p,w,o,p,r,c,d
e,x,y,g,t,l,f,c,b,u,t,z,s,s,b,w,p,n,o,p,n,v,d
e,b,f,r,t,n,a,c,b,o,e,b,f,f,e,e,p,n,b,p,u,y,d
e,x,f,g,t,n,f,c,n,u,t,r,k,k,p,y,p,w,t,n,n,v,d
e,f,f,n,t,m,a,d,b,u,e,u,f,s,w,w,p,n,t,p,o,v,d
e,x,y,p,t,n,a,c,b,e,e,b,s,s,n,n,p,w,b,p,k,s,d
e,f,g,g,t,n,f,c,b,u,e,b,y,s,g,g,p,o,o,p,k,v,g
e,f,f,w,f,n,a,c,b,h,t,e,s,f,w,w,p,w,o,c,n,s,g
e,c,y,y,t,n,f,w,n,w,t,b,k,s,b,g,u,w,o,p,n,c,l
e,f,f,g,f,n,a,c,b,e,e,e,f,f,e,e,p,w,b,e,u,s,g
e,c,g,p,t,n,d,c,b,u,e,c,s,y,g,w,p,w,o,p,n,c,d
e,x,f,e,t,n,a,c,b,u,t,b,s,f,w,c,p,w,o,e,b,n,d
p,s,y,e,t,p,f,c,b,r,e,r,s,y,w,c,p,o,t,p,b,s,u
e,x,y,u,t,c,f,d,b,u,t,b,s,k,c,g,u,w,o,p,b,v,p
e,f,f,n,t,a,f,c,b,o,t,b,s,f,w,w,p,n,b,p,k,a,d
e,k,f,g,t,n,f,c,b,w,t,b,f,f,g,g,p,w,o,e,n,v,d
e,f,g,e,t,n,f,c,b,n,t,e,s,y,p,e,p,o,b,l,u,v,g
e,f,g,g,t,m,d,c,b,n,t,b,s,s,g,p,p,o,o,l,k,v,u
e,f,f,g,t,a,a,c,b,p,e,b,f,f,n,g,p,w,b,c,k,s,u
e,c,f,e,t,n,a,c,b,p,e,c,s,f,o,o,p,n,o,p,r,c,d
e,k,y,n,t,p,a,c,b,n,t,b,f,f,w,g,p,n,o,c,w,v,d
e,b,y,w,t,y,n,c,b,n,t,b,s,s,w,g,p,w,b,p,n,a,u
e,f,y,n,f,l,f,c,b,p,t,b,k,k,g,w,u,w,o,p,k,y,u
e,x,y,y,f,n,n,c,n,h,t,e,s,s,g,e,u,y,o,s,k,s,d
e,x,g,r,t,n,d,c,b,n,e,u,s,s,p,p,p,w,t,f,k,n,l
e,f,f,g,t,y,f,c,n,w,t,b,k,k,w,g,u,w,b,p,h,v,d
e,c,s,n,f,p,n,w,b,p,t,c,s,s,w,w,p,w,o,p,w,c,u
e,x,f,e,f,n,f,w,n,p,t,b,k,s,b,p,u,y,o,p,o,v,l
e,s,s,w,f,c,d,w,b,k,e,r,s,s,c,c,p,w,o,f,n,y,d
e,b,y,u,t,y,f,c,n,o,t,b,s,s,g,w,p,w,b,p,h,a,u
e,x,f,g,t,n,d,c,b,e,t,b,s,s,e,g,p,o,b,l,u,s,l
e,x,s,n,f,a,n,c,n,w,t,b,s,s,p,n,u,y,b,p,k,y,g
e,c,g,g,t,l,f,w,b,n,t,c,y,y,g,b,p,w,o,f,n,y,u
e,f,y,n,f,f,f,c,b,g,t,z,s,s,g,p,u,w,o,p,r,v,l
e,x,f,w,t,l,a,c,b,u,e,z,f,s,w,p,p,w,o,c,n,v,d
e,x,y,n,t,n,f,w,b,p,e,z,y,y,b,g,p,w,o,l,n,v,d
p,f,s,g,t,p,a,c,b,h,e,e,f,s,n,n,p,w,o,c,k,v,d
e,x,f,u,t,a,f,c,n,o,t,b,k,k,n,g,u,w,o,p,k,v,d
e,f,s,w,t,y,a,c,b,k,e,e,s,s,w,g,p,n,o,e,u,s,g
e,f,g,g,t,n,d,w,b,h,e,e,y,y,e,e,p,o,b,l,n,s,g
e,x,f,e,t,p,f,w,b,p,t,b,k,s,w,w,u,w,o,p,k,v,d
e,f,g,n,t,n,d,c,b,w,t,b,s,y,o,o,p,w,o,l,k,v,d
e,s,f,g,t,n,d,c,b,r,t,b,s,y,c,g,p,w,t,f,k,v,d
e,k,y,w,f,f,f,c,n,n,t,b,k,s,p,o,p,w,o,n,k,v,w
e,f,s,n,f,n,f,d,b,u,t,r,s,s,w,y,p,y,t,p,k,y,l
e,f,g,n,t,n,d,c,b,h,e,e,s,y,p,e,p,o,b,l,u,v,l
p,x,f,g,f,n,f,c,b,e,e,e,f,f,e,e,p,n,o,e,u,y,u
e,f,f,y,t,n,a,c,b,h,e,e,s,f,g,g,p,n,b,c,u,s,d
e,b,y,n,f,n,f,w,b,h,t,b,k,k,w,e,u,w,o,n,u,a,g
p,x,f,p,t,p,a,c,b,n,e,c,f,f,w,w,p,w,o,p,n,v,g
e,c,y,g,t,n,d,d,b,p,t,r,s,y,y,p,p,o,t,f,n,y,d
e,c,f,e,t,n,f,c,b,p,e,b,s,s,w,w,p,w,o,p,w,v,w
e,x,f,n,t,l,a,w,b,p,e,b,s,s,b,b,p,w,o,c,n,v,p
e,f,y,y,f,n,f,c,b,h,t,b,s,s,p,g,p,w,b,s,k,s,u
e,k,y,g,f,n,f,w,n,g,t,b,k,k,p,b,p,w,o,n,n,v,d
e,x,s,w,t,c,f,c,b,b,t,u,s,s,p,c,u,w,o,p,b,v,d
e,s,s,p,f,n,f,d,n,u,t,r,s,s,y,y,p,y,o,z,k,y,p
e,s,f,g,t,c,d,d,b,r,e,b,y,s,c,c,p,o,t,l,k,y,u
e,b,f,g,t,a,a,c,b,o,t,b,s,f,g,n,p,w,b,p,k,y,d
e,x,y,e,t,n,f,w,n,w,t,z,s,s,b,b,u,w,o,p,n,v,w
e,x,s,e,t,n,n,w,b,n,t,c,s,s,w,o,u,w,o,s,k,y,d
p,c,s,w,t,p,a,w,n,n,e,e,f,s,o,w,p,w,o,e,k,a,u
e,x,g,w,t,c,d,c,b,u,e,u,s,y,c,w,p,w,t,l,k,v,d
e,x,g,c,t,l,d,c,b,w,t,b,y,s,b,p,p,w,o,l,n,v,p
e,f,y,e,t,n,a,c,b,w,e,u,f,s,y,y,p,n,o,c,y,n,d
e,f,y,g,f,n,f,d,b,p,t,u,s,s,c,c,p,w,t,n,k,v,u
e,x,y,g,t,n,f,c,b,y,t,r,y,y,w,c,p,o,t,f,b,v,d
e,x,y,b,t,n,d,w,b,w,t,b,y,s,o,o,p,w,o,l,n,c,p
e,c,f,y,f,n,f,w,b,w,t,c,s,s,w,w,u,y,o,p,n,y,d
e,x,y,e,f,n,f,c,n,w,t,u,k,s,c,w,p,w,t,p,b,n,w
e,f,f,y,t,a,d,c,b,n,t,b,y,s,n,n,p,o,b,p,n,s,d
e,x,y,g,f,n,f,c,b,w,t,z,k,s,w,w,p,w,o,p,w,v,m
e,f,f,n,t,s,a,d,b,p,e,u,f,s,w,y,p,w,t,p,y,v,g
e,f,y,e,t,a,f,c,b,p,t,e,s,s,n,n,p,n,b,c,n,s,d
e,x,y,g,t,s,f,c,b,u,t,b,k,s,p,w,u,w,o,n,w,v,d
e,x,f,g,t,s,d,d,b,r,e,b,y,s,y,y,p,w,t,p,y,v,w
e,x,y,p,f,f,n,w,n,n,t,c,s,s,p,o,p,y,o,s,r,y,d
e,f,f,u,t,n,f,c,n,b,t,b,k,k,c,c,p,w,o,p,b,n,d
e,s,y,n,t,m,f,c,b,y,e,r,y,y,p,p,p,w,o,l,o,y,u
e,k,s,n,t,l,f,w,b,p,t,b,s,s,b,b,p,w,o,s,k,y,d
e,f,g,n,t,n,d,c,b,e,t,b,s,y,p,g,p,w,o,p,h,s,w
e,b,g,n,t,n,f,c,b,k,t,b,s,s,e,g,p,o,b,p,u,a,w
e,s,g,n,t,c,f,d,b,y,t,r,s,s,c,c,p,w,o,f,n,v,d
e,x,s,w,t,p,n,c,b,p,t,z,s,s,w,p,u,w,o,s,w,v,p
e,k,f,g,f,f,f,c,b,g,t,z,k,k,p,o,u,w,o,n,n,v,d
e,s,f,y,t,m,f,c,b,u,e,b,s,k,c,c,u,w,o,p,n,y,u
e,x,g,n,t,n,f,c,b,p,t,u,y,y,y,g,p,o,o,f,n,v,d
p,f,g,p,f,n,d,c,n,g,e,b,y,s,e,w,p,w,b,f,u,s,l
e,x,f,e,t,n,f,d,b,r,t,b,s,f,p,p,p,w,o,p,n,y,d
e,f,f,n,f,n,f,c,b,h,t,e,k,k,p,g,u,w,o,p,u,s,d
e,f,f,n,t,n,a,c,b,e,e,b,f,s,p,g,p,w,b,c,k,y,d
e,f,f,g,t,n,a,c,b,h,t,b,s,s,p,n,p,n,b,c,k,s,d
e,k,g,n,t,n,f,w,b,n,e,z,y,y,w,g,p,w,o,p,k,v,d
e,c,f,g,t,l,d,w,b,w,t,b,y,s,w,b,p,w,o,p,n,y,d
e,k,s,u,t,n,f,c,n,n,t,z,s,s,w,w,u,w,o,s,w,y,d
e,x,f,g,t,n,f,c,b,u,t,u,f,f,p,w,p,w,t,e,k,v,g
e,x,g,g,t,n,d,c,b,u,e,b,s,s,p,g,p,o,o,f,n,y,w
e,f,y,g,t,s,f,d,b,y,t,r,s,k,w,g,p,w,o,p,n,y,w
e,b,f,e,t,n,f,c,b,u,e,b,f,f,e,g,p,n,b,c,n,a,p
e,f,y,n,f,y,f,c,n,e,t,e,s,s,p,g,u,y,b,s,k,s,g
e,c,y,y,f,n,n,w,n,p,t,b,s,s,g,w,p,y,o,p,w,v,g
e,x,y,g,f,a,f,c,n,h,t,e,s,s,w,w,u,y,o,p,n,s,d
e,f,s,g,t,n,n,c,b,w,t,e,s,s,p,p,u,y,o,s,u,s,m
e,x,y,r,t,n,f,c,b,k,t,b,k,s,e,w,p,w,b,n,k,a,m
p,k,s,g,f,l,n,w,b,h,e,b,s,k,b,b,p,w,o,l,h,y,g
e,x,g,n,t,c,f,c,b,b,e,b,y,y,c,p,p,o,t,l,b,n,u
e,c,g,y,t,f,d,w,b,n,e,b,s,s,g,p,p,o,o,l,r,y,d
e,x,f,e,t,n,f,d,b,r,t,r,f,f,p,g,p,n,t,c,k,y,u
